feature,importance
MCQ_MCQ230A,0.7882359155633875
WHQ_WHD120,0.6642829258134745
MCQ_MCQ250F,0.6591743947068504
BMX_BMXSUB,0.6281204264158974
CVX_CVDEXSTS,0.6231211639523118
SXQ_SXQ020,0.5302411540281227
PAQIAF_PADLEVEL,0.5090580224467902
AUQ_AUQ130,0.5054825339028286
BIX_BIDFAT,0.5009113708434643
BPQ_BPQ040D,0.49335378731419527
BPQ_BPQ010,0.44312046269778405
DEMO_RIDAGEMN,0.41551835723531677
MCQ_MCQ250C,0.399084850584891
DEMO_INDFMPIR,0.36686022083727365
WHQ_WHD050,0.3374828707661239
AUQ_AUQ220,0.3253642935244214
OCQ_OCD390,0.3236801011549494
SSMUMP_WTSSMC2Y,0.3133936501941669
BMX_BMXTRI,0.2812871364733287
SXQ_SXQ250,0.27975704536021
ALQ_ALQ130,0.27014120271284664
CVX_CVDS1G,0.26568966649098397
SXQ_SXQ120,0.2571209683090872
MPQ_MPQ070,0.25254711215767395
DEMO_DMDHHSIZ,0.25173859598638326
RHQ_RHQ370,0.24228357823499597
IMQ_IMQ020,0.24223083102398926
BPX_PEASCTM1,0.23526470256608187
PH_PHAFSTMN,0.23226592607626684
ALQ_ALQ150,0.21817918251152732
BPX_BPXDAR,0.20294239451008092
SMQ_SMD075,0.19669042135122325
HUQ_HUQ060,0.17543622500453565
DEMO_DMDMARTL,0.17249206279326046
DEMO_WTINT2YR,0.17135370534319927
BMX_BMXARMC,0.16931691671957463
DEMO_DMDEDUC,0.16824677700179036
HOQ_HOD060,0.16712559919116732
PAQ_PAQ180,0.16532866220909762
PAQ_PAD120,0.16373433692578715
DEMO_INDFMINC,0.16145364304955595
OCQ_OCD240,0.15790465534611944
BIX_BIDRICF,0.14975235701113795
BIX_BIXS011K,0.14968162008406066
WHQ_WHD020,0.1487809614514984
BIX_BIDFFM,0.14739508310497967
PH_PHDSESN,0.14518845259382268
BIX_BIXS028K,0.1419986717048996
VIX_VIXPRA,0.1414594491515951
PAQIAF_PADACTIV,0.1355900092197599
SXQ_SXD030,0.1350773101943056
BMX_BMXBMI,0.1307180325771192
VIX_VIXKLCD,0.12888316230399557
MCQ_MCQ053,0.12594780967439878
RHQ_RHD230,0.1230786182713957
DEMO_RIDAGEYR,0.12200604405393663
BPQ_BPQ030,0.12028645889948753
WHQ_WHD110,0.11570728651082893
DEMO_SDMVPSU,0.10526321720994791
SMQ_SMQ020,0.10368342010734793
PAQ_PAD460,0.10165446028566903
HIQ_HID040,0.1007581039221567
VIX_VIDLVA,0.10022537404092736
BIX_BIXS009K,0.09760117401896301
SMQ_SMD030,0.09652259076081898
BIX_BIDRECF,0.09455405756093546
CIQGAD_CIQG18,0.0940593198915634
VIX_VIXKLG1,0.09337622392720171
MCQ_MCQ250A,0.0933230913562376
CVX_CVDR2HR,0.09114773759096216
BIX_BIXS806K,0.0898390201631372
VIX_VIXORSM,0.08954925575766068
PAQ_PAQ540,0.08823247348571588
CVX_CVDS1DI,0.0846045563054835
MCQ_MCQ160F,0.08352669905829033
VIX_VIXKRCD,0.08293810833132839
SMQ_SMD055,0.08139175964549264
BIX_BIDCM,0.08064992017437145
HOQ_HOQ080,0.07962183914562451
AUQ_AUQ140,0.07642461074141538
VIX_VIXKRMM,0.07400235988220019
SMQ_SMD070,0.07249270238749313
PAQ_PAD320,0.07024891864825088
DBQ_DBD090,0.0685920471718844
BPQ_BPQ020,0.068536874406539
PAQIAF_PADDURAT,0.06749221398074226
BIX_BIXC007K,0.06569108584110997
WHQ_WHD140,0.0655974408900825
RHQ_RHQ010,0.06519058904846103
SXQ_SXQ220,0.06432549527807024
BIX_BIXS014K,0.06345455057862079
DEMO_DMDEDUC2,0.06313681142894427
ALQ_ALQ120U,0.06304578074863652
HOQ_HOD040,0.06157064353835579
BMX_BMXLEG,0.05996979195894057
OCQ_OCQ340,0.05980881909456121
MCQ_MCQ250B,0.0593549517952606
SMQ_SMQ120,0.059180374310286166
PAQ_PAQ100,0.05916405255357292
MCQ_MCQ280,0.058261252061355184
BIX_BIXS1M,0.05572067351605379
CVX_CVDEXCMT,0.055602796191721766
CIQGAD_CIQG27,0.05543760808437554
DEMO_INDHHINC,0.05495698362494215
L02HBS_LBXHBS,0.05414609224001246
CVX_CVDR1DI,0.05406954675306315
HIQ_HID010,0.05147699205068529
SXQ_SXQ190,0.05066266639649523
ACQ_ACQ030,0.04449168456614006
ACQ_ACQ050,0.04425614675880753
DEMO_DMDBORN,0.04412961051542095
HUQ_HUQ040,0.042381833549790554
VIX_VIXKRD2,0.03820859898589651
BPQ_BPQ050A,0.03768891288679154
BPQ_BPQ070,0.03676780455316654
BIX_BIXS649K,0.03580424936827417
VIX_VIXKLMM,0.03574206763242841
ALQ_ALQ140Q,0.03530021185930749
RHQ_RHD170,0.0350546224822804
SXQ_SXQ150,0.034916734915349704
BMX_BMITRI,0.034540371612907364
BPX_BPXDI2,0.034350513987314875
VIX_VIXKRG2,0.03424072008247008
BMX_BMXTHICR,0.03378921973711265
BMX_BMXHT,0.03354254612812594
BIX_BIXS012K,0.033298808002547114
VIX_VIXOLAM,0.033206100225345786
WHQ_WHD010,0.032879622753344766
CVX_CVDEXCL5,0.03286269252072377
MPQ_MPQ030,0.03275283827526639
FSQ_FSD180,0.032128002235670666
NHANES_CYCLE,0.03035113430971194
BPX_BPXPLS,0.02906579802769925
VIX_VIXKRCG,0.028508371672938265
OCQ_OCQ290Q,0.028195683901886537
VIX_VIDRVA,0.027328729159754223
BMX_BMXWT,0.02675534899955558
OHXREF_OHASCST5,0.025708086004939446
SXQ_SXQ260,0.025614125081922994
SMQ_SMQ180,0.025609761391747147
CVX_CVDEXCL1,0.02556460092547344
RDQ_RDQ080,0.02432308644224346
CVX_CVDWDI,0.02381712418947769
OHXREF_OHAREC,0.023264070738654774
BPQ_BPQ060,0.02261303970002591
SMQ_SMQ040,0.01922074758636319
OCQ_OCQ360,0.018628152411706653
SMQ_SMQ140,0.018503066646088005
VIX_VIXKLDM,0.018481121033977334
PAQ_PAD440,0.018142552061354605
RHQ_RHQ540,0.01811819790965058
VIX_VIXKLD1,0.018059910877107406
PAQ_PAQ050U,0.01766116920674388
PAQIAF_PADTIMES,0.017508644639577017
MCQ_MCQ140,0.01672611097888694
BIX_BIXS093K,0.016548710372517705
RDQ_RDQ050,0.01628021010016621
VIX_VIXPRS,0.015391378564486182
IMQ_IMQ030,0.0149068117367119
BIX_BIXS339K,0.014826773479106187
CVX_CVDEXMER,0.014645553659692378
VIX_VIXKRM2,0.01453816694953707
PUQ_PUD010,0.014146544920297339
DEMO_DMDHRMAR,0.01304635914513409
PAQ_PAD200,0.012979588132236361
PAQ_PAD160,0.012814737886248933
OCQ_OCD270,0.012578680563381617
HOQ_HOQ065,0.012514699355253497
BIX_BIXC008K,0.012381736130645924
CVX_CVAWG1,0.01236069083586664
BIX_BIXS007K,0.012315897307399747
SXQ_SXQ130,0.012218155109790227
VIX_VIXKRG1,0.012142223277655188
CIQGAD_CIQG21,0.012089439137268674
BPX_BPXSY1,0.012046426649936473
DUQ_DUQ110,0.012030105089642964
RDQ_RDQ140,0.011769680710208069
SSMUMP_SSMUMPS,0.01151617268825714
PAQ_PAQ520,0.011044623072084075
CIQGAD_CIAORDER,0.011043623592836933
OCQ_OCQ420,0.010706011144853212
BIX_BIXC010K,0.010130636706422594
BIX_BIXS898K,0.009964045338948234
OHXREF_OHQ142,0.00985862657904855
WHQ_WHQ090,0.009558100003150917
BIX_BIXS020K,0.009492631968929787
DEMO_RIDRETH1,0.008545015239650478
BPX_BPXML1,0.00840805183454146
MCQ_MCQ010,0.008359824573208231
RDQ_RDQ090,0.007936512362471048
DEMO_SDMVSTRA,0.007451154087733637
CIQGAD_CIDGPRB,0.007198970096395153
BMX_BMXCALF,0.007197690322280607
CVX_CVAWS1,0.007169451420545146
MCQ_MCQ040,0.0071091056373212645
SMQ_SMQ050Q,0.0070989552190196085
AUQ_AUQ230,0.0070781266834302695
CVX_CVDEXCL4,0.007027734363351985
BPX_BPXDI1,0.006802835836552075
CIQGAD_CIQG14,0.006718950382803336
BIX_BIXS100K,0.0065654397211685955
VIX_VIXPLA,0.0064939928565455425
CVX_CVXS2RPE,0.006362554601317972
VIX_VIXKRD1,0.006334438692687738
BMX_BMXARML,0.006160798229376125
OCQ_OCQ350,0.00613407293862665
VIX_VIXKLCG,0.0061334269369501156
ALQ_ALQ120Q,0.006000481047733976
RHQ_RHQ560Q,0.005903953444166276
BPX_BPXDI3,0.005862522733654433
SXQ_SXQ200,0.0058540706193595865
PUQ_PUD021,0.0057934837885575295
BIX_BIXS245K,0.005788046629603703
SMQ_SMQ205,0.005733592896534267
VIX_VIXKLG2,0.0056859721639288836
CVX_CVQ220B,0.0056378094224763435
MCQ_MCQ160J,0.005590778101992878
BPX_BPACSZ,0.005205282578750407
PAQIAF_PADMETS,0.004919915898619195
VIX_VIDLOVA,0.004851297164912766
VIX_VIDORFM,0.004761883175387346
BPX_BPQ150A,0.004728602571804206
DUQ_DUQ100,0.004682707669157093
SSCMV_WTSSMC2Y,0.004499427321815538
BIX_BIXS006K,0.004324959179477192
MPQ_MPQ080,0.004315500065007811
SMQFAM_SMD415A,0.003947040800263976
CVX_CVDR3DI,0.003886367341856107
MCQ_MCQ160K,0.0038220543393840565
VIX_VIXKLD2,0.003646952307715399
CVX_CVDEXCL6,0.0033528468470685005
MPQ_MPQ010,0.0033441388312865613
CVX_CVDPMHR,0.003289447543630757
RHQ_RHQ340,0.002982592152460814
CVX_CVDS2TIM,0.002694703746729245
CVX_CVDWSY,0.0025171960927957726
BPQ_BPQ040A,0.0024683058277742763
SSCMV_SSCMVOD,0.002445223172246104
ACQ_ACQ060,0.0024440656018084083
VIX_VIQ220,0.0023459901857028433
MCQ_MCQ180F,0.002267326800717436
WHQ_WHD100M,0.0021394797633362433
SMQMEC_SMQ725,0.002092830550084584
CVX_CVDR2SY,0.0019250956437328799
CIQGAD_CIQGPA,0.00186731105805373
BIX_BIXC006K,0.0017565826404282055
OSQ_OSQ020B,0.0016338055120653791
RHQ_RHQ586Q,0.0015890410391935898
SXQ_SXQ265,0.0015330271185397084
DEMO_DMQMILIT,0.001396840020283127
OSQ_OSD030BE,0.001273594855243107
BIX_BIXS083K,0.0012571476413755936
RHQ_RHQ596,0.0012531704286268105
RHQ_RHQ260,0.0011744131381554777
BPQ_BPQ090C,0.0011353171844931192
RDQ_RDQ100,0.0010096611679130747
BIX_BIXS018K,0.0009782130893369306
BIX_BIXS200K,0.0009456910990514788
DEMO_DMDYRSUS,0.0009289535219135843
FSQ_FSD190,0.000923393098161011
