WHQ_WHD120,MCQ_MCQ250F,CVX_CVDEXSTS,BPX_PEASCTM1,BPQ_BPQ010,DEMO_RIDAGEMN,BMX_BMXTRI,WHQ_WHD050,IMQ_IMQ020,DEMO_INDFMPIR,BIX_BIDFAT,BPX_BPXDAR,MPQ_MPQ070,SMQ_SMD030,DEMO_INDFMINC,ALQ_ALQ150
-2.3486887538278647,-0.6964041579617524,1.0191507269120836,-2.0779052719556215,-0.5436086160251903,-0.43571187891155855,-1.2953109558442644,-1.4020989794569634,-2.2102345889785613,-1.998169700469882,-0.48996465832309244,-1.7244078192552499,-1.6731460664082007,-1.8872211183847276,-1.1269933927485092,-0.511887844595057
-2.4507412585993995,-0.6899611437198194,1.0278446637207541,-2.136636973470643,-0.61019056599646,-0.3708701572536447,-1.50895331167196,-1.4575905340645274,-0.24541479867086002,-2.2532475022803977,-0.6353217452106458,-1.7443254846772835,-1.7226232366143517,-1.5494802055708763,-1.1684477330713379,-0.49910846410141163
-2.4286578112264574,-0.6874229115789846,1.0448884890282113,-2.136411751705599,-0.5790676021928158,-0.36384613022828144,-1.4746787343757786,-1.449119876408659,-0.23578296117027792,-2.2435686749570114,-0.679485314315426,-1.7482572686152942,-1.7162969145553606,-1.6506380875977544,-1.1540743131623092,-0.5131686771550088
-2.735582704578463,-0.9150138088214842,0.2739816542754248,-2.038471503507774,-0.6094981608364293,-0.03441593768226406,-1.732256810621621,-1.6093076449735149,-0.6966318367712777,-0.5983936014961043,-0.5930590346096326,-1.9201815529325832,-1.8312481700424226,-1.8166727973514962,-1.187555308564437,-0.5736035375888674
-2.388166301584967,-0.8310980612996703,0.19285948862804012,-1.8581337176429622,-0.5792390508421248,-0.09819946984641365,-1.32165373302892,-1.4030491168910912,-2.239272189711309,-1.9688666255946068,-0.3336717460064486,-1.7109560663404766,-1.6885929383138147,-1.6960853561713165,-1.130516587447596,-0.5474427970565918
-2.371290980390359,-0.6989423294664715,1.0026684623522897,-2.0762667780599307,-0.591287440800267,-0.4427361052789556,-1.2987398589391017,-1.4105566364295243,-2.2364222782073497,-2.0066960598369645,-0.44898368750898526,-1.721494900644347,-1.678901719946362,-1.7889792421948647,-1.1334454568759336,-0.5000090306419162
-2.388166301584967,-0.8310980612996703,0.19285948862804012,-1.8581337176429622,-0.5792390508421248,-0.09819946984641365,-1.32165373302892,-1.4030491168910912,-2.239272189711309,-1.9688666255946068,-0.3336717460064486,-1.7109560663404766,-1.6885929383138147,-1.6960853561713165,-1.130516587447596,-0.5474427970565918
-2.3368421099732277,-0.6988674363359288,1.013336336848989,-2.077955113812912,-0.7233643829983422,-0.43910421842895375,-1.2498466181790897,-1.3750144606964845,-2.203511980579473,-1.984726910832963,-0.46546947703115443,-1.6852626653217908,-1.6643459075224774,-1.9000825359237612,-1.104437015366821,-0.5071196634113484
-2.388166301584967,-0.8310980612996703,0.19285948862804012,-1.8581337176429622,-0.5792390508421248,-0.09819946984641365,-1.32165373302892,-1.4030491168910912,-2.239272189711309,-1.9688666255946068,-0.3336717460064486,-1.7109560663404766,-1.6885929383138147,-1.6960853561713165,-1.130516587447596,-0.5474427970565918
-2.4685484644078275,-0.8187410893699835,0.2150991710316951,-1.9179219295481593,-0.5981421762181167,-0.026427105740189475,-1.5327771835890607,-1.4500494439022062,-0.2515340593180886,-2.2148372540062207,-0.5163330598927336,-1.73377800323309,-1.731354525586052,-1.460789916819669,-1.1614359679052355,-0.5474977135148543
-2.4507412585993995,-0.6899611437198194,1.0278446637207541,-2.136636973470643,-0.61019056599646,-0.3708701572536447,-1.50895331167196,-1.4575905340645274,-0.24541479867086002,-2.2532475022803977,-0.6353217452106458,-1.7443254846772835,-1.7226232366143517,-1.5494802055708763,-1.1684477330713379,-0.49910846410141163
-2.6547880328108104,-0.9041731738604498,0.24923504349762726,-2.0274584171301324,-0.5990881374213436,-0.11150196950231599,-1.5053357477320903,-1.5680705310930612,-2.483690632306688,-0.6539534888431955,-0.2868701825895172,-1.9092235895924912,-1.7465923907444159,-1.9577715944265754,-1.1478445145900376,-0.5714595111008821
-2.388166301584967,-0.8310980612996703,0.19285948862804012,-1.8581337176429622,-0.5792390508421248,-0.09819946984641365,-1.32165373302892,-1.4030491168910912,-2.239272189711309,-1.9688666255946068,-0.3336717460064486,-1.7109560663404766,-1.6885929383138147,-1.6960853561713165,-1.130516587447596,-0.5474427970565918
-2.522515730178461,-0.8730605729342809,0.2563503586182198,-2.0201885390238177,-0.5560316465295321,-0.06376232839068305,-1.4642073037039405,-1.4102206271974789,-2.3981438052802035,-1.0813721777524115,-0.4076361293784826,-1.8204360521150926,-1.6865117941199217,-2.14859944467248,-1.0187892533037886,-0.582668772781586
-2.973924473842037,-0.36163891173585594,1.4789721621500924,-2.454840892109239,-0.8908966945745973,-0.6318098982222652,-1.4543326488388608,-1.625845077959841,-2.52929564863431,0.12312262059071324,-0.8913239432674691,-1.9785314966033136,-1.6538433700497803,2.7937292108447824,-0.9765170672510237,-0.3233192136626896
-2.60931802236495,-0.7343405194693888,1.1524565224283467,-2.321690271081533,-0.6497202505862197,-0.33425195192138973,-1.6580233567039022,-1.5241594606300115,-0.3144835183653063,-1.2187979861839344,-0.6589579312778908,-1.8522509707605992,-1.7052554048634796,-1.916550989636621,-1.0992885449268988,-0.5027497544774352
-2.354959117419273,-0.7010310653325694,1.0156573947106942,-2.086768434907999,-0.5912635757718562,-0.44867706234910176,-1.29828984791753,-1.4049547309744306,-2.236297162409626,-2.0009044450109825,-0.46055606038383484,-1.7210040130859552,-1.6787868746901697,-1.9186010911463618,-1.0207033626647588,-0.49493120147781205
-2.4516053007551775,-0.6899611120593548,1.0281774985077456,-2.1365426562939294,-0.610190566176259,-0.3708702568815533,-1.5098633094992426,-1.4575905281187818,-0.24541479406232647,-2.2531935887568273,-0.6351170746048704,-1.7443478747820182,-1.7223379033816368,-1.5510746745935549,-1.1650394334966123,-0.5000969207841568
-2.898279099178319,-0.4198308512013068,0.503030737212661,-1.9872220895093566,-0.6445227268851812,-0.32413414866958484,-1.4311073591843,-1.6654606490693973,-2.394354825421478,-0.8154882666581106,-0.6784463655203077,-1.9091763013580207,-1.7527269231566363,3.3249668840518956,-1.0965597118869665,-0.3668393080211788
-2.3486887538278647,-0.6964041579617524,1.0191507269120836,-2.0779052719556215,-0.5436086160251903,-0.43571187891155855,-1.2953109558442644,-1.4020989794569634,-2.2102345889785613,-1.998169700469882,-0.48996465832309244,-1.7244078192552499,-1.6731460664082007,-1.8872211183847276,-1.1269933927485092,-0.511887844595057
-2.616235076602301,-0.7438382876862818,1.086319483939594,-2.439943319881963,-0.6340538112371675,-0.34733546200887444,-1.6794437589542273,-1.6173336510005192,-0.31129883205252734,-1.2044675981992354,-0.6566569204928109,-1.8391583755137804,-1.7146084518464837,-1.9157842756327204,-1.0856030044609892,-0.4901646428776394
-2.608703323324263,-0.9035684300797174,0.28415600524062196,-2.0190467751594667,-0.5571649420275402,-0.11074173591381563,-1.50246765393002,-1.5544753784392435,-2.4541127068655904,-0.6415969991528992,-0.3385732925603197,-1.9200488609720168,-1.739417021890385,-2.2014649360634917,-1.0204065297723541,-0.5893864167788158
-2.3671167702831837,-0.828555884545565,0.21211671298648146,-1.83922708131558,-0.5291181012351932,-0.09135590462175361,-1.3219016620157733,-1.395551078402946,-2.2097394310261573,-1.9600506999634562,-0.37454834193756437,-1.7222346257419197,-1.6825637791889285,-1.7996691702895973,-1.1206185609377672,-0.5724689684824201
-2.484955908904928,-0.7146256970829081,1.0340980377144815,-2.347497525684886,-0.6043914776736943,-0.4435235846607027,-1.3676899834931229,-1.5701515837105398,-2.345881571540665,-1.2170411321728571,-0.46559354154403126,-1.786890224992645,-1.6674953057232729,-2.1205904956710833,-1.0051543575733553,-0.4892371587965802
-2.7069654109171233,-0.7856311602389725,1.1390033749081614,-2.2828004709961247,-0.6204888538841089,-0.39815116408677154,-1.6853558055877633,-1.6452737220896685,-0.7071795526274826,-0.3383109289100786,-0.7964354477296293,-1.9532155733843988,-1.780014735431015,-2.0542426375294607,-1.0746386896319615,-0.5210915803738146
-2.5965737758706284,-0.7000531404910249,1.029392663162366,-2.4322258701365107,-0.6306106376142762,-0.37195634176675624,-1.5791364260587877,-1.552960281031962,-0.3199664093925317,-1.4725344682858232,-0.6384917810647387,-1.8061001361723175,-1.7130091753100776,-1.750397459067239,-1.1778715100743518,-0.4971246563750383
-2.4471536701398198,-0.8161988836402271,0.23458512135080495,-1.897245894736759,-0.5645770874028185,-0.019583640229653938,-1.5012694405472897,-1.4425384106764974,-0.2385571569696773,-2.2049227739423367,-0.5605969247202991,-1.746053037856903,-1.7250400311730503,-1.5656952677522862,-1.1470248851885279,-0.5737168273583936
-2.432440112995358,-0.8186619932435353,0.22810506214911858,-1.8974844001616524,-0.7464876254152054,-0.02297587929423112,-1.4539951075053401,-1.4154905398999744,-0.2339893285196088,-2.1915878113525564,-0.5365111881688723,-1.7068958630108606,-1.715175488379754,-1.573742686906322,-1.1312951098303314,-0.566971732809194
-2.5965737758706284,-0.7000531404910249,1.029392663162366,-2.4322258701365107,-0.6306106376142762,-0.37195634176675624,-1.5791364260587877,-1.552960281031962,-0.3199664093925317,-1.4725344682858232,-0.6384917810647387,-1.8061001361723175,-1.7130091753100776,-1.750397459067239,-1.1778715100743518,-0.4971246563750383
